card_id,location_id,timestamp,entity_id
C8480,AUD_MAIN,2025-09-30T07:31:32.197Z,E100388
C7067,LIB_L3,2025-10-06T09:00:45.198Z,E100021
C2941,HOSTEL_C,2025-10-11T15:43:48.198Z,E100024
C7996,GYM_INDOOR,2025-10-08T08:10:49.198Z,E100885
C5850,LAB_301,2025-10-06T06:26:35.198Z,E100115
C6336,LIB_L2,2025-09-30T04:13:13.198Z,E100495
C9186,CC_LAB2,2025-10-10T11:42:31.198Z,E100629
C3438,ADMIN_OFFICE,2025-09-26T14:38:36.198Z,E100693
C2066,ADMIN_OFFICE,2025-10-10T18:16:47.198Z,E100044
C7929,LIB_L2,2025-10-18T16:54:45.198Z,E100937
C6935,LIB_L2,2025-10-01T07:04:18.198Z,E100815
C3481,AC_101,2025-09-27T11:35:01.198Z,E100237
C9620,ADMIN_OFFICE,2025-10-13T02:48:09.198Z,E100873
C4781,LAB_201,2025-10-06T12:21:39.198Z,E100204
C7007,LIB_ENT,2025-10-11T08:04:14.198Z,E100565
C1311,LIB_L2,2025-10-16T15:08:55.198Z,E100620
C7538,LAB_301,2025-10-18T16:52:33.198Z,E100288
C3127,LAB_201,2025-09-25T03:49:01.198Z,E100427
C8933,AC_301,2025-10-07T14:47:06.198Z,E100832
C1865,CC_LAB1,2025-10-19T12:04:50.198Z,E100262
C3759,HOSTEL_A,2025-10-22T16:14:14.199Z,E100614
C3791,CAF_FOOD_COURT,2025-10-01T15:32:35.199Z,E100295
C2639,CAF_MAIN,2025-10-23T10:21:07.199Z,E100777
C4086,ADMIN_LOBBY,2025-10-21T07:20:43.199Z,E100221
C8570,LIB_ENT,2025-09-26T15:55:12.199Z,E100972
C1864,LAB_301,2025-10-22T06:15:38.199Z,E100179
C7948,LIB_L2,2025-10-15T11:43:19.199Z,E100557
C2757,LIB_ENT,2025-10-01T11:13:30.199Z,E100365
C8433,LAB_201,2025-10-01T08:27:37.199Z,E100938
C2953,CAF_FOOD_COURT,2025-10-09T13:25:28.199Z,E100186
C7503,CC_LAB1,2025-09-30T08:17:53.199Z,E100607
C7308,CAF_MAIN,2025-09-26T17:52:20.199Z,E100619
C3780,HOSTEL_B,2025-10-11T09:41:43.199Z,E100608
C4183,HOSTEL_C,2025-10-19T07:55:21.199Z,E100109
C5663,CC_SERVER,2025-10-19T14:56:37.199Z,E100702
C3900,LIB_ENT,2025-10-19T10:29:07.199Z,E100382
C6634,LIB_L2,2025-09-25T10:48:37.199Z,E100755
C2597,LIB_L1,2025-09-25T09:28:42.199Z,E100603
C6018,AC_102,2025-10-16T11:52:33.199Z,E100493
C4086,AC_102,2025-10-23T22:36:28.199Z,E100221
C5164,LAB_102,2025-09-27T19:58:54.199Z,E100948
C9499,LIB_L1,2025-10-10T12:17:16.199Z,E100517
C5068,LAB_102,2025-10-23T11:52:20.199Z,E100874
C3436,CC_LAB1,2025-10-07T07:19:06.199Z,E100918
C2279,LAB_102,2025-10-15T13:54:05.199Z,E100035
C9343,CC_LAB2,2025-10-01T02:35:00.199Z,E100319
C1603,LAB_102,2025-10-17T12:18:27.199Z,E100064
C5033,HOSTEL_C,2025-10-05T02:48:47.199Z,E100881
C9211,AUD_SEMINAR,2025-10-10T07:38:12.199Z,E100588
C6153,LIB_L3,2025-10-22T05:14:43.199Z,E100900
C4382,LIB_L3,2025-09-29T14:40:24.199Z,E100061
C3396,LAB_201,2025-10-11T07:51:38.199Z,E100320
C8643,LAB_301,2025-10-20T07:13:55.199Z,E100971
C2026,LIB_ENT,2025-09-25T11:08:26.199Z,E100655
C7780,AC_102,2025-10-20T13:52:21.199Z,E100944
C9740,LIB_L3,2025-10-12T07:16:25.199Z,E100632
C1199,LIB_L2,2025-10-09T04:43:04.199Z,E100455
C3799,ADMIN_LOBBY,2025-10-14T01:43:14.199Z,E100451
C9579,CAF_MAIN,2025-09-29T04:47:57.199Z,E100175
C4772,LAB_201,2025-10-22T03:06:41.199Z,E100611
C9202,LAB_301,2025-10-16T04:26:03.199Z,E100591
C9343,AC_201,2025-09-26T14:30:59.199Z,E100319
C4183,AUD_MAIN,2025-10-20T04:41:29.199Z,E100109
C2026,HOSTEL_A,2025-10-10T10:12:51.199Z,E100655
C5826,LIB_L3,2025-10-13T04:34:16.199Z,E100781
C3414,AC_102,2025-10-14T12:26:53.199Z,E100743
C7780,AC_101,2025-10-22T15:39:44.199Z,E100944
C2103,LAB_102,2025-10-07T06:16:47.199Z,E100816
C3906,GYM_MAIN,2025-10-18T10:20:47.199Z,E100029
C8334,AC_301,2025-09-28T12:06:19.199Z,E100970
C6634,HOSTEL_C,2025-09-30T03:57:58.199Z,E100755
C9323,CC_SERVER,2025-09-29T10:53:21.199Z,E100274
C1965,ADMIN_OFFICE,2025-10-19T07:18:06.199Z,E100373
C7429,LAB_102,2025-10-14T16:27:07.199Z,E100078
C4920,LAB_102,2025-10-18T13:13:32.199Z,E100916
C5194,AC_101,2025-09-29T10:05:32.199Z,E100548
C3438,LIB_L3,2025-10-22T04:42:06.199Z,E100693
C2870,AUD_SEMINAR,2025-10-10T18:29:14.199Z,E100941
C6266,HOSTEL_A,2025-10-24T06:36:30.199Z,E100010
C8091,HOSTEL_A,2025-10-09T12:10:18.199Z,E100824
C3335,GYM_MAIN,2025-10-18T09:09:40.199Z,E100882
C8091,HOSTEL_A,2025-10-13T15:46:44.199Z,E100824
C7308,GYM_INDOOR,2025-10-24T13:51:19.199Z,E100619
C3431,LAB_101,2025-10-23T14:11:13.199Z,E100389
C1521,LAB_301,2025-10-09T17:00:29.199Z,E100869
C7804,LAB_101,2025-09-28T11:39:17.199Z,E100349
C8517,AC_102,2025-10-17T14:06:10.199Z,E100011
C8270,LIB_ENT,2025-09-30T04:13:13.199Z,E100833
C7538,CC_SERVER,2025-10-11T05:48:32.199Z,E100288
C6444,LAB_101,2025-09-27T09:10:40.199Z,E100760
C7379,CAF_MAIN,2025-10-20T16:02:31.199Z,E100107
C3889,HOSTEL_B,2025-10-22T04:33:47.199Z,E100595
C7259,AUD_MAIN,2025-10-15T10:01:51.199Z,E100214
C9620,CC_SERVER,2025-10-24T15:13:00.199Z,E100873
C2102,LAB_301,2025-10-13T14:01:32.199Z,E100896
C5874,AC_201,2025-10-06T14:33:06.199Z,E100772
C3526,GYM_MAIN,2025-10-06T02:48:09.199Z,E100294
C2512,CAF_MAIN,2025-10-11T03:41:33.199Z,E100280
C9196,AC_102,2025-09-26T15:08:55.199Z,E100499
C9910,AC_102,2025-09-29T07:11:00.199Z,E100255
C5918,CAF_MAIN,2025-10-11T05:08:06.199Z,E100547
C9724,LIB_L2,2025-10-11T02:45:00.199Z,E100500
C4647,LAB_101,2025-10-04T15:17:22.199Z,E100779
C3511,LAB_201,2025-10-06T17:50:06.199Z,E100798
C8203,AUD_SEMINAR,2025-10-08T17:10:14.199Z,E100002
C8878,HOSTEL_C,2025-09-26T13:54:25.199Z,E100147
C7056,HOSTEL_B,2025-10-13T23:16:26.199Z,E100949
C7570,GYM_MAIN,2025-09-26T04:12:59.199Z,E100615
C7035,AC_102,2025-10-16T14:30:23.199Z,E100510
C5788,AC_201,2025-10-12T16:31:24.199Z,E100009
C6608,AC_201,2025-10-01T06:13:41.199Z,E100940
C9403,CAF_MAIN,2025-09-26T08:37:14.199Z,E100111
C2186,CC_LAB2,2025-10-02T09:37:26.199Z,E100800
C8012,LAB_301,2025-09-26T06:54:46.199Z,E100169
C7843,AC_102,2025-10-17T10:40:11.199Z,E100979
C1910,LAB_102,2025-10-20T15:40:04.199Z,E100249
C7527,AC_301,2025-10-19T14:23:39.199Z,E100998
C5630,LAB_201,2025-10-04T09:34:04.199Z,E100334
C3466,AC_101,2025-10-09T11:43:33.199Z,E100384
C5511,LIB_L3,2025-09-28T15:07:05.199Z,E100964
C6486,ADMIN_OFFICE,2025-10-21T05:19:23.199Z,E100987
C9910,AUD_MAIN,2025-10-05T17:58:13.199Z,E100255
C6022,AC_102,2025-10-03T18:57:44.199Z,E100612
C7804,LIB_L3,2025-10-18T22:18:50.199Z,E100349
C2949,HOSTEL_C,2025-10-23T12:37:57.199Z,E100602
C4705,LAB_201,2025-10-08T15:09:02.199Z,E100748
C3559,AC_101,2025-10-21T16:15:52.199Z,E100463
C4568,HOSTEL_A,2025-10-12T07:39:46.199Z,E100020
C5948,CC_LAB2,2025-10-11T04:51:32.199Z,E100593
C2147,CC_LAB1,2025-10-20T06:42:57.199Z,E100202
C6956,AC_201,2025-10-09T04:56:01.199Z,E100633
C6128,LIB_ENT,2025-10-05T07:17:58.199Z,E100040
C8784,ADMIN_LOBBY,2025-10-03T10:22:15.199Z,E100995
C8424,LIB_ENT,2025-09-27T14:16:06.199Z,E100471
C7687,AC_301,2025-10-13T01:30:41.199Z,E100157
C6224,AC_301,2025-10-16T04:17:08.199Z,E100045
C5410,AC_201,2025-10-19T17:39:26.199Z,E100259
C9799,CAF_FOOD_COURT,2025-10-15T09:13:27.199Z,E100601
C6326,CC_LAB1,2025-10-17T10:03:32.199Z,E100537
C8910,LAB_201,2025-10-21T10:00:39.199Z,E100458
C7899,AC_102,2025-10-16T17:32:16.199Z,E100506
C3878,AC_301,2025-10-02T13:03:28.199Z,E100613
C2998,LIB_ENT,2025-10-15T11:58:44.199Z,E100990
C1010,GYM_MAIN,2025-10-22T20:45:28.199Z,E100234
C6614,AUD_MAIN,2025-10-20T08:46:57.199Z,E100502
C3190,HOSTEL_C,2025-10-15T15:33:23.199Z,E100181
C1956,HOSTEL_A,2025-10-24T10:40:33.199Z,E100931
C5956,CAF_MAIN,2025-10-04T09:02:24.199Z,E100703
C6825,CC_SERVER,2025-09-27T10:36:19.199Z,E100497
C9739,CC_LAB2,2025-10-03T12:03:25.199Z,E100903
C8835,AC_201,2025-10-19T03:38:20.199Z,E100273
C7967,HOSTEL_A,2025-09-30T08:48:40.199Z,E100994
C6283,LAB_101,2025-09-28T03:20:39.199Z,E100242
C2191,LIB_L3,2025-10-20T09:25:45.199Z,E100826
C4139,LIB_L2,2025-10-18T06:28:22.199Z,E100939
C9517,LIB_L3,2025-10-10T04:53:38.199Z,E100797
C4590,AUD_SEMINAR,2025-10-08T10:11:43.199Z,E100353
C9107,AC_101,2025-09-27T14:43:49.199Z,E100129
C5630,CC_LAB2,2025-10-24T12:44:43.199Z,E100334
C8070,CAF_FOOD_COURT,2025-10-06T10:21:42.199Z,E100676
C4684,LIB_L3,2025-10-13T12:01:56.199Z,E100335
C4882,AUD_SEMINAR,2025-10-04T14:00:12.199Z,E100501
C8345,AC_301,2025-10-23T11:19:56.199Z,E100718
C2998,AC_101,2025-10-23T06:43:14.199Z,E100990
C9730,CAF_FOOD_COURT,2025-09-26T19:34:01.199Z,E100138
C1297,AUD_MAIN,2025-10-19T01:12:10.199Z,E100929
C3068,AUD_SEMINAR,2025-10-13T12:26:48.199Z,E100560
C9450,LAB_301,2025-10-05T07:07:39.199Z,E100354
C6403,ADMIN_LOBBY,2025-10-06T14:44:29.199Z,E100575
C8297,LAB_101,2025-10-19T16:03:48.199Z,E100983
C9647,LAB_102,2025-10-13T04:59:00.199Z,E100227
C9576,LIB_L2,2025-10-18T13:26:40.199Z,E100564
C6522,HOSTEL_A,2025-10-03T02:41:08.199Z,E100752
