frame_id,camera_id,timestamp,face_id,entity_id,confidence,bounding_box
FRAME_000001,CAM_CAF_01,2025-09-26T10:35:35.208Z,F100601,E100601,0.95,"{""x"":395,""y"":194,""width"":92,""height"":130}"
FRAME_000002,CAM_GYM_ENT,2025-10-18T14:50:24.208Z,F100707,E100707,0.87,"{""x"":286,""y"":214,""width"":150,""height"":152}"
FRAME_000003,CAM_PARKING,2025-09-30T13:54:42.208Z,F100102,E100102,0.98,"{""x"":407,""y"":348,""width"":150,""height"":110}"
FRAME_000004,CAM_LAB_CORR,2025-10-20T13:57:13.208Z,F100474,E100474,0.99,"{""x"":413,""y"":264,""width"":92,""height"":116}"
FRAME_000005,CAM_PARKING,2025-10-08T14:27:04.208Z,F100226,E100226,0.79,"{""x"":395,""y"":290,""width"":106,""height"":138}"
FRAME_000006,CAM_LAB_CORR,2025-10-23T07:49:08.208Z,F100440,E100440,0.75,"{""x"":242,""y"":128,""width"":111,""height"":174}"
FRAME_000007,CAM_HOSTEL_A,2025-10-11T11:02:40.208Z,F100045,E100045,0.84,"{""x"":217,""y"":393,""width"":125,""height"":162}"
FRAME_000008,CAM_HOSTEL_A,2025-10-11T15:23:42.208Z,F100921,E100921,0.78,"{""x"":127,""y"":182,""width"":99,""height"":131}"
FRAME_000009,CAM_GYM_ENT,2025-10-09T17:27:22.208Z,F100137,E100137,0.77,"{""x"":318,""y"":367,""width"":122,""height"":143}"
FRAME_000010,CAM_HOSTEL_A,2025-10-20T09:28:16.208Z,F100345,E100345,0.73,"{""x"":231,""y"":187,""width"":105,""height"":175}"
FRAME_000011,CAM_AC_MAIN,2025-10-10T16:22:31.208Z,F100494,E100494,0.75,"{""x"":241,""y"":260,""width"":96,""height"":135}"
FRAME_000012,CAM_CAF_01,2025-10-21T13:33:14.208Z,F100067,E100067,0.96,"{""x"":475,""y"":242,""width"":131,""height"":117}"
FRAME_000013,CAM_GYM_ENT,2025-10-04T05:09:21.208Z,F100894,E100894,0.76,"{""x"":389,""y"":294,""width"":120,""height"":149}"
FRAME_000014,CAM_AC_MAIN,2025-10-18T06:53:33.208Z,F100514,E100514,0.73,"{""x"":323,""y"":168,""width"":117,""height"":125}"
FRAME_000015,CAM_CAF_01,2025-10-16T15:33:45.208Z,F100159,E100159,0.84,"{""x"":311,""y"":108,""width"":133,""height"":110}"
FRAME_000016,CAM_HOSTEL_A,2025-10-05T11:31:20.208Z,F100220,E100220,0.7,"{""x"":234,""y"":258,""width"":128,""height"":100}"
