booking_id,entity_id,student_id,lab_name,booking_date,time_slot,purpose,status,created_at
LAB_000001,E100042,S32667,Computer Lab 1,2025-11-30T13:52:57.144Z,11:00-17:00,Ratione depopulo conculco capillus quibusdam tracto aestivus maxime cotidie.,confirmed,2025-10-12T11:32:39.517Z
LAB_000002,E100462,S15850,Biology Lab,2025-12-17T00:08:07.625Z,14:00-11:00,Nobis desolo odio ulterius delinquo subvenio.,cancelled,2025-09-27T21:34:14.907Z
LAB_000003,E100721,S70035,Electronics Lab,2025-11-11T17:54:37.389Z,16:00-12:00,Conspergo valeo animadverto delectatio valens nulla vilis aer vis.,cancelled,2025-09-28T11:14:23.299Z
LAB_000004,E100077,S39169,Computer Lab 1,2025-12-13T00:31:48.050Z,11:00-15:00,Solium magnam aureus derelinquo convoco.,pending,2025-09-22T23:28:20.835Z
LAB_000005,E100274,S88235,Physics Lab,2025-12-15T19:35:43.375Z,15:00-11:00,Uterque numquam subito sortitus surculus sophismata.,pending,2025-09-25T18:56:58.732Z
LAB_000006,E100753,S10967,Biology Lab,2025-12-02T03:03:51.512Z,13:00-16:00,Capto caritas perspiciatis assentator tibi altus pecco ad.,cancelled,2025-10-24T02:34:14.652Z
LAB_000007,E100680,S43200,Mechanical Workshop,2025-12-27T21:07:55.913Z,15:00-15:00,Uter utpote voveo cresco contego.,cancelled,2025-09-24T18:15:04.574Z
LAB_000008,E100673,S18096,Computer Lab 2,2025-12-31T15:32:29.495Z,12:00-13:00,Quisquam delectatio aurum amor terror copiose.,pending,2025-09-29T08:42:50.137Z
LAB_000009,E100738,S82822,Research Lab,2025-11-24T07:55:29.853Z,12:00-17:00,Acerbitas amplitudo abbas celo.,confirmed,2025-09-26T19:37:21.272Z
LAB_000010,E100396,S77314,Mechanical Workshop,2025-11-03T21:45:15.331Z,15:00-16:00,Tollo aperte tergo custodia sum.,cancelled,2025-09-22T04:23:34.337Z
LAB_000011,E100641,S89790,Computer Lab 1,2025-12-27T02:47:21.154Z,10:00-11:00,Sufficio necessitatibus ara doloremque credo curso testimonium assumenda undique aequus.,confirmed,2025-10-23T11:57:14.350Z
LAB_000012,E100214,S48633,Mechanical Workshop,2025-12-18T20:08:14.075Z,11:00-14:00,Adfero calcar absconditus adficio defendo.,pending,2025-10-01T06:31:46.137Z
