checkout_id,entity_id,book_id,book_title,author,category,isbn,checkout_date,due_date,return_date,status
CHK_000001,E100937,BK_9613,vos argumentum,Sana Rao,Engineering,7264004947019,2025-08-12T00:13:28.394Z,2025-08-26T00:13:28.394Z,2025-08-17T20:05:59.442Z,returned
CHK_000002,E100248,BK_3992,magnam apparatus utilis,Ayaan Kapoor,Literature,8039413593112,2025-08-20T18:43:44.802Z,2025-09-03T18:43:44.802Z,2025-09-23T11:53:15.294Z,checked_out
CHK_000003,E100276,BK_1165,bonus adeo antiquus avaritia circumvenio,Advik Pandey,Chemistry,3326216488252,2025-06-18T00:48:05.471Z,2025-07-02T00:48:05.471Z,2025-07-14T13:41:36.711Z,returned
CHK_000004,E100158,BK_8038,cernuus aufero aestivus molestiae cohors,Reyansh Bansal,Mathematics,2563540304605,2025-10-09T23:18:42.167Z,2025-10-23T23:18:42.167Z,2025-10-23T00:18:37.447Z,returned
CHK_000005,E100623,BK_2540,volva sono stella eligendi vulgivagus,Neha Singh,Engineering,9018121400433,2025-06-24T21:18:17.162Z,2025-07-08T21:18:17.162Z,2025-07-16T22:59:02.277Z,overdue
CHK_000006,E100625,BK_3743,umquam suasoria,Vivaan Mehta,Mathematics,2891154851715,2025-06-18T17:36:59.441Z,2025-07-02T17:36:59.441Z,,returned
CHK_000007,E100017,BK_1321,impedit usitas verumtamen similique suppellex,Anika Shah,History,6294589999982,2025-05-28T07:45:17.946Z,2025-06-11T07:45:17.946Z,2025-06-07T00:46:10.645Z,checked_out
CHK_000008,E100672,BK_9374,infit defleo,Vihaan Mehta,Physics,6600963733129,2025-06-11T17:42:10.307Z,2025-06-25T17:42:10.307Z,2025-08-10T07:31:19.051Z,checked_out
CHK_000009,E100635,BK_8825,volva appono deduco,Sai Arora,Mathematics,7606151005422,2025-09-11T16:04:25.955Z,2025-09-25T16:04:25.955Z,2025-10-03T16:35:24.452Z,overdue
CHK_000010,E100211,BK_2436,claudeo denego,Siya Joshi,Literature,1683806446544,2025-08-17T16:58:51.177Z,2025-08-31T16:58:51.177Z,2025-09-13T21:01:09.352Z,checked_out
CHK_000011,E100386,BK_5452,uter verus,Tara Gupta,Mathematics,5410657451201,2025-09-13T20:57:41.312Z,2025-09-27T20:57:41.312Z,2025-10-19T18:31:38.665Z,overdue
