device_hash,ap_id,timestamp,entity_id,signal_strength,duration
DHdFdB3c9Af36F,AP_AC_1,2025-10-14T11:59:53.204Z,E100173,-59,1907
DHF3c8c1eC6e4c,AP_GYM_1,2025-10-16T07:17:30.204Z,E100302,-79,5221
DHB3dfCdbC9D34,AP_LIB_2,2025-10-14T09:47:03.204Z,E100174,-76,447
DHAEEbF1A3821F,AP_AC_2,2025-09-25T17:23:36.204Z,E100437,-77,3292
DH5bd6bA959243,AP_CAF_1,2025-10-08T12:46:00.204Z,E100158,-76,5675
DH4Fbd5cDd7feE,AP_CC_1,2025-10-11T03:18:03.204Z,E100807,-72,4850
DHb3f5043AfEeD,AP_AC_1,2025-10-13T16:15:18.204Z,E100564,-50,5264
DH03C72D409286,AP_LIB_3,2025-10-16T13:00:31.204Z,E100726,-45,2944
DHBd792119DF84,AP_LAB_2,2025-10-14T02:40:44.204Z,E100118,-54,6473
DHb63Cce0aAeEE,AP_CC_1,2025-10-16T05:16:31.204Z,E100428,-62,2535
DH226dFB8d6ff7,AP_CAF_2,2025-10-04T23:27:13.204Z,E100855,-51,3679
DH0AfBC38653c9,AP_LAB_1,2025-10-03T12:00:39.204Z,E100690,-67,1674
DH14E66d5f4aC0,AP_AC_2,2025-09-26T13:51:04.204Z,E100467,-61,1257
DHa8AD2BdCFFe3,AP_LAB_2,2025-09-24T22:17:29.204Z,E100375,-34,4052
DH3Bf82C1Fe7aA,AP_LIB_3,2025-09-29T07:20:01.204Z,E100542,-57,4830
DH5b67c86dcF1f,AP_CC_2,2025-10-17T03:24:50.204Z,E100926,-37,7199
DH8EC191ba2BEa,AP_LIB_3,2025-09-29T08:53:18.204Z,E100285,-46,6199
DH3Bb9f1C1e7c4,AP_LIB_3,2025-10-01T12:26:43.204Z,E100007,-46,4926
DHA51D8edc2118,AP_LAB_1,2025-09-28T03:11:57.204Z,E100417,-77,4096
DHAb21BFb5Dd14,AP_LIB_1,2025-10-17T08:39:50.204Z,E100243,-70,6855
DHBE3F0dAE4850,AP_LAB_2,2025-09-25T12:43:28.204Z,E100013,-79,7182
DH68D8A201E1aB,AP_AC_1,2025-10-21T03:51:29.204Z,E100126,-75,5454
DHbb8cd4f00A71,AP_CC_2,2025-09-28T21:31:35.204Z,E100945,-32,3427
DHDDc9Bc348d4a,AP_LIB_3,2025-09-29T09:13:29.204Z,E100596,-68,6411
DH5DEfeD2bc27E,AP_CC_1,2025-10-05T17:30:39.204Z,E100705,-77,2594
DHd3486f9508EA,AP_CAF_1,2025-10-10T03:19:51.204Z,E100370,-70,5188
DH7Fd4BdaE10ad,AP_LIB_3,2025-10-02T08:51:51.204Z,E100055,-68,4773
DH73fb47664fB1,AP_GYM_1,2025-10-07T10:49:13.204Z,E100332,-43,1954
DHbfA7495Debac,AP_AC_2,2025-10-11T18:14:23.204Z,E100656,-57,1726
DH6846d365dCfb,AP_LAB_2,2025-10-24T06:07:51.204Z,E100918,-32,553
DHdaeCcaA77f42,AP_AC_2,2025-09-27T17:21:24.204Z,E100533,-44,1806
DH1Affce0BCd7C,AP_LIB_2,2025-10-02T04:58:17.204Z,E100696,-31,1857
DHB1eCbaF63179,AP_CC_1,2025-10-20T14:39:39.204Z,E100648,-48,3547
DH25bc77dd61Cd,AP_CC_1,2025-10-11T11:45:18.204Z,E100909,-47,6524
DH8AaEdfFFD7D6,AP_CC_2,2025-10-18T14:16:23.204Z,E100486,-35,3296
DHC49bbBBb4F5a,AP_LIB_2,2025-10-02T03:22:27.204Z,E100072,-56,5078
DHe4D557fEff6D,AP_GYM_1,2025-10-23T06:00:19.204Z,E100951,-52,2311
DH7bc14dCCae63,AP_LAB_1,2025-10-11T13:58:10.204Z,E100115,-55,5800
DHaAB59F8fDED5,AP_CC_2,2025-10-16T07:24:21.204Z,E100053,-80,718
DHA3AFb64CeeCc,AP_LAB_2,2025-10-16T05:09:53.204Z,E100899,-67,5653
DHb2F989E1Fa8d,AP_CAF_1,2025-10-16T06:06:22.204Z,E100943,-45,3863
DHB27EeeF53aD2,AP_CC_1,2025-10-17T04:13:09.204Z,E100402,-34,6750
DH68D8A201E1aB,AP_LIB_1,2025-09-30T10:49:46.204Z,E100126,-71,1925
DH2F870eDfcced,AP_GYM_1,2025-10-04T07:38:22.204Z,E100988,-73,2036
DHDbE6F24d06B8,AP_LAB_2,2025-10-01T10:18:05.204Z,E100682,-75,2518
DHce9E5f68CD1F,AP_LIB_2,2025-10-14T08:50:20.204Z,E100865,-52,2659
DHe6a28c6c54C0,AP_CAF_1,2025-10-16T02:56:33.204Z,E100458,-45,980
DH08A8fBa3Ceed,AP_LIB_2,2025-10-04T08:59:24.204Z,E100568,-49,5507
DH1F9A9bcB2Bc8,AP_AC_1,2025-09-29T06:42:55.204Z,E100398,-35,6822
DHdFE7AcAf2FdC,AP_GYM_1,2025-10-06T17:07:04.204Z,E100934,-53,4947
DH9fDdf35F17EE,AP_LIB_1,2025-10-16T05:32:58.204Z,E100925,-54,2074
DHD50D218efa46,AP_LAB_1,2025-10-20T11:53:58.204Z,E100408,-72,4612
DH5aB26Ca0E2Ee,AP_AC_2,2025-09-29T07:45:40.204Z,E100041,-78,820
DH907fA0db1806,AP_LIB_1,2025-10-05T10:56:47.204Z,E100571,-32,1124
DH4bFF4C4f8A20,AP_LAB_2,2025-10-19T18:04:32.204Z,E100357,-51,4397
DHb69ba47018ef,AP_LAB_1,2025-10-08T15:34:58.204Z,E100788,-40,4923
DHd4DD14dECfdf,AP_AC_1,2025-10-23T07:10:27.204Z,E100071,-74,2612
DHd0C939D8bEF8,AP_CAF_1,2025-09-28T04:27:33.204Z,E100049,-51,5523
DH9AC2ba89bEB6,AP_LIB_3,2025-10-15T13:13:16.204Z,E100266,-61,4964
DHfe8faC1f272F,AP_AC_2,2025-10-22T04:11:39.204Z,E100550,-43,5524
DH5a482E20387E,AP_AC_1,2025-10-08T03:09:18.204Z,E100079,-75,2895
DHcAcF7571F4E2,AP_LIB_2,2025-10-17T07:54:34.204Z,E100548,-76,7109
DH79DBB1c7fa0d,AP_AC_2,2025-10-01T14:06:44.204Z,E100681,-61,4170
DHBacdf30D7Be0,AP_CC_2,2025-10-01T21:03:09.204Z,E100864,-49,1420
DHf0Fa91C398af,AP_CAF_1,2025-10-21T17:38:04.204Z,E100396,-50,1583
DH9DBDef855E2F,AP_GYM_1,2025-10-22T04:46:01.204Z,E100054,-42,954
DH114223eF6c26,AP_CAF_2,2025-10-14T08:13:45.204Z,E100245,-49,544
DH0EacA7C0EFDb,AP_AC_2,2025-09-30T05:12:22.204Z,E100277,-49,1427
DH09EEF8bCEF2b,AP_CC_2,2025-10-14T16:18:01.204Z,E100124,-65,5558
DH3037Ac0AcAAC,AP_LIB_3,2025-10-07T04:54:18.204Z,E100368,-53,5163
DHf6a4e0304aA9,AP_LIB_1,2025-10-12T07:58:21.204Z,E100627,-69,1356
DHCcB1FDA9cDfa,AP_GYM_1,2025-10-22T10:03:08.204Z,E100218,-56,5073
DH36d0Cf48DF3A,AP_CC_1,2025-10-09T13:54:56.204Z,E100676,-66,4150
DHaf89178d10EF,AP_LIB_3,2025-10-09T10:51:20.204Z,E100771,-69,1577
DHBDA85aFF858B,AP_CC_2,2025-09-25T17:00:05.204Z,E100494,-80,4192
DHD5fb832a0637,AP_CAF_1,2025-10-11T04:40:14.204Z,E100300,-43,3244
DH7aC19CCe4cB5,AP_CC_2,2025-10-04T08:12:55.204Z,E100657,-30,3958
DHAcD0C19a0b9B,AP_LIB_1,2025-10-09T12:51:04.204Z,E100741,-49,6993
DH9Db4Ca10BD63,AP_LIB_2,2025-10-04T06:51:26.204Z,E100580,-69,470
DHaA7c0D16d1b6,AP_AC_2,2025-10-01T12:09:15.204Z,E100938,-36,3453
DH3a8faB7d3C4A,AP_LIB_2,2025-10-24T13:57:30.204Z,E100591,-62,568
DH5dA1a55a6eD4,AP_LIB_1,2025-10-02T09:42:46.204Z,E100056,-39,3568
DH76A6f50Ddc99,AP_CC_1,2025-10-15T14:09:59.204Z,E100642,-49,3088
DHa1C80fF0B1c6,AP_CAF_2,2025-10-24T15:40:13.204Z,E100367,-62,4407
DHe145B7a3bc39,AP_LIB_3,2025-10-04T15:15:14.204Z,E100718,-50,5295
DH96DBeb6Bcf71,AP_AC_2,2025-10-20T09:29:48.204Z,E100640,-60,5291
DHE517aC9DEAee,AP_CC_2,2025-10-24T04:53:15.204Z,E100711,-64,2414
DH33Aa4423E89c,AP_GYM_1,2025-10-14T11:24:40.204Z,E100668,-37,1069
DHdFE7AcAf2FdC,AP_LIB_3,2025-10-21T11:28:33.204Z,E100934,-75,1625
DHDBaACC9ccd8F,AP_LIB_3,2025-10-14T07:22:20.204Z,E100315,-33,6960
DH2Aa8ad2d0cBd,AP_LIB_2,2025-10-10T06:11:49.204Z,E100838,-32,1253
DHFcD1ddD5a1Ca,AP_CAF_1,2025-10-12T05:50:22.204Z,E100449,-30,432
DHfCac43ea7480,AP_GYM_1,2025-09-30T21:48:30.204Z,E100971,-75,5535
DH4aa1CaeD3A70,AP_AC_2,2025-10-20T10:12:40.204Z,E100473,-46,3927
DH9FEd03D6FFF5,AP_CC_1,2025-10-03T06:42:22.204Z,E100308,-75,6926
DHfaFfcE49A191,AP_LIB_2,2025-10-16T12:34:04.204Z,E100686,-57,2357
DHEA0379c6B02b,AP_LAB_1,2025-09-30T05:08:19.204Z,E100691,-31,5584
DHfA46bf917baC,AP_GYM_1,2025-10-09T01:26:53.204Z,E100348,-57,1042
DH4B3CeDFccbc2,AP_LAB_2,2025-09-27T03:08:53.204Z,E100140,-38,4860
DH96bb7CbB5375,AP_LIB_1,2025-09-26T14:02:10.204Z,E100267,-37,5230
DHC49bbBBb4F5a,AP_LAB_2,2025-10-07T17:06:26.204Z,E100072,-75,1792
DHBd8245Cb3BEB,AP_CAF_1,2025-09-24T20:46:04.204Z,E100804,-47,4806
DHf65c41FB2657,AP_CAF_1,2025-10-07T03:20:28.204Z,E100503,-35,4954
DHf534CeCCEECB,AP_LAB_1,2025-10-13T14:00:30.204Z,E100028,-41,899
DHE9493B6f1058,AP_GYM_1,2025-09-26T03:51:39.204Z,E100974,-35,6984
DH09dD408a7cFA,AP_GYM_1,2025-10-05T05:07:21.204Z,E100073,-80,6573
DHDa82ab45B83f,AP_CC_1,2025-10-21T05:18:38.204Z,E100101,-33,402
DHAa7Aee14DDb4,AP_CC_1,2025-10-20T03:45:14.204Z,E100063,-67,763
DHfec5b63D5884,AP_LAB_2,2025-09-30T16:17:23.204Z,E100047,-74,6947
DH4bFF4C4f8A20,AP_LAB_2,2025-10-18T04:41:19.204Z,E100357,-36,6829
DH437AcfBcaaa8,AP_AC_2,2025-09-29T14:32:27.204Z,E100320,-40,5672
DH51C7EB87edA5,AP_AC_1,2025-10-02T16:50:47.204Z,E100188,-30,5038
DHADDFE39FD3f5,AP_CAF_1,2025-10-17T09:08:53.204Z,E100609,-40,5843
DH5a381cA1dcFE,AP_GYM_1,2025-09-25T10:22:27.204Z,E100590,-45,1482
DH6d658ff01228,AP_LIB_2,2025-10-09T11:59:50.204Z,E100551,-43,5805
DHC5fea6C6abd9,AP_LAB_1,2025-10-24T05:42:30.204Z,E100947,-70,4040
DH6726D4B9bc8f,AP_CC_2,2025-10-09T17:41:45.204Z,E100860,-43,4711
DH82d7d3FFB372,AP_LIB_3,2025-09-26T12:22:51.204Z,E100075,-70,6971
DH3436e72Ffe2E,AP_LIB_3,2025-10-02T06:13:56.204Z,E100050,-52,885
DH03551e2e8FAA,AP_CC_2,2025-09-28T19:07:18.204Z,E100234,-33,6765
DHfA46bf917baC,AP_LAB_2,2025-10-07T07:27:58.204Z,E100348,-80,2461
